kar,rus
Afriekan rahvahan lugumiäry on läs miljardua hengie,численность населения Африки приближается к миллиарду человек
"Afriekku on rahvaskunnan algukodi: juuri täs lövvettih aigazien gominidoin muinazimat jiännykset, ottajen joukkoh ""Sahelanthropus tchadensis"", ""Australopithecus africanus"", ""A","Африка считается прародиной человечества: именно здесь нашли самые древние останки рода Homo и вида Homo sapiens, и его вероятных предков, включая сахелантропов, Australopithecus africanus, A."
Afriekan manner menöy poikki ekvuatoras da mones ilmastoalovehes,Африканский континент пересекает экватор и имеет много климатических зон
"Se on ainavo manner, kudai sijoittuu pohjazes subtropizes ilmastoalovehespäi suvisubtropizessah","Это единственный континент, протянувшийся от северного субтропического климатического пояса до южного субтропического"
Täs vihmuu ylen vähän,Здесь редко бывает дождь
Nimen alguperä,Этимология
"Enzimäi ”afri”-sanal muinazen Karfagenan eläjät kučuttih ristikanzoi, kuduat elettih linnan lähäl","Изначально словом «афри» жители древнего Карфагена называли людей, обитавших недалеко от города."
"Tämä nimi on sivottu ”afar”-sanah, kudai merkiččöy finikakse pölyy","Это название обычно выводят из финикийского afar, что значит «пыль»."
"Konzu Riman eläjät vallattih Karfagenan, hyö nimitettih sen Afriekakse",После завоевания Карфагена римляне назвали провинцию Африкой
"Myöhembäh Afriekakse ruvettih kuččuo tämän manderen kaikkii alovehii, a sit iččiegi mannerdu","Позднее Африкой стали называть и все известные регионы этого континента, а потом и сам континент."
Ahven,окунь
"Ahven (""Perca fluviatilis"") on kala","Окунь (""""Perca fluviatilis"""") - это рыба"
Ahven voib kazvua enämb 1 kilou,Окунь может вырастать больше 1 килограмма
Ahven syöb äijäl toini kalua,окунь питается живой рыбой
Ahvenel on erinomane magu,у окуня необычный вкус
"Niis keitetäh rokkua da žuaritah, Ven’al da kuivatah","Из неё варят суп и жарят, русские её сушат"
"Ahvenet (""Perca"") ollah ahvenien heimoh da ""Percinae""-alaheimoh kuului kalasugu","Пресноводные окуни (Perca) — род рыб семейства окунёвых (Percidae), отряда окунеобразных"
Luavut,лава
Ahvenkalat,Окунеобразные
"Ahvenkalat (""Perciformes"") ollah kalalahko",Окунеобразные (лат. Perciformes) — отряд пресноводных и морских лучепёрых рыб
"Aigu on fiiziekan perussuurus, kuduan yksikkö on sekundu","Время — физическая величина, единица измерения — секунда"
Aijanlaskun histourii,Отсчёт времени
Aigu fiiziekas,Физика времени
Aiguvyöhykkehel on kaksi piämerkičysty,Понятие часовой пояс имеет два значения
Aittuniemi on Karjalan tazavallan Louhen piirin pos’olku,Аеттуниеми — посёлок в Лоухском районе Республики Карелия
Se on Aittuniemen kyläkunnan haldivolline keskus,Это административный центр Аеттуниемского сельского поселения
Aittuniemi () on Karjalan tazavallan Louhen piirin pos’olku,Аеттуниеми — посёлок в Лоухском районе Республики Карелия
Histourii,История
Se perustettih vuvvennu 1914 Murmanskan raudutien raududorogustansiennu,Посёлок основан в 1914 году как железнодорожная станция строящейся Мурманской железной дороги
Laitokset da organizaciet,учреждения и организации
Kul’tuuru da opastundu,культура и образование
Pos’olkas on keskiškola,В посёлке есть школа
Histourien mustomerkit,достопримечательности
Händy pietäh yhtenny merkittävimis ohjuajis kinon histouries,Считается одним из самых влиятельных кинорежиссёров за всю историю кино
57-vuodehizen uran aigua häi ohjai kaikkiedah 30 kinuo,За 57-летнюю карьеру он создал тридцать фильмов
"Kurosawan enzimäine kino ""Sugata sanširo"" piäzi ilmah vuvvennu 1943","Первый фильм Куросавы ""Сугата Сансиро"" вышел на свет в 1943 году"
Akkalansaamen kieli on uralilazen kieliperehen suomelas-ugrilazeh kielijoukkoh kuului saamilaine kieli,"Бабинский саамский язык, или аккала — язык из финно-угорской ветви уральской языковой семьи"
Se kuoli vuonnu 2003,Он вымер в 2003 году
Al'umiinii Mendelejevan sistiemallizen järjestyksen mugah on kolmadentostu joukon kolmanden periodan alguaineh,Алюминий — химический элемент 13-й группы третьего периода периодической таблицы химических элементов Менделеева
Sen atomunoumer on 13,Его атомный номер — 13.
Se kuuluu kebjieloin metalloin joukkoh,Относится к группе лёгких металлов
Tädä metallua on ylen äijy da se on kolmas hiimielline alguaineh muankuores leviemizen mugah (kislorodan da kremnien jälles),Наиболее распространённый металл и третий по распространённости элемент в земной коре (после кислорода и кремния).
Prostoi aineh al'umiinii on kebjei paramagnitnoi metallu,Простое вещество алюминий — это лёгкий парамагнитный металл
Sen väri on valgei da hobjankarvaine,Его цвет — серебристо-белый
"Al’umiiniespäi on kebjieh luadie erilazii muodoloi, sidä on kebjieh valua",Алюминиевый сплав легко поддаётся формовке и литью
"Al'umiiniel on korgei lämmön- da sähkösiirdo, se ei varua korroziedu","Алюминий обладает высокой тепло- и электропроводностью, стойкостью к коррозии"
Histourii,история
Enzikerran al'umiiniedu sai duanielaine fiiziekku Gans Ersted v,Впервые алюминий был получен датским физиком Хансом Эрстедом
"Alguainehen nimi perustuu latinan nimeh ”alumen”, kudai merkiččöy ”kvastsi” («квасцы»)",Название элемента образовалось от лат. alumen — квасцы
Ennen al'umiinien tevolližussuamizen löydämisty tämä metallu oli kuldua kallehembi,До развития широкомасштабного промышленного  способа получения алюминия этот металл был дороже золота
Ala-Kuittijärvi () on Ven’an järvi Karjalan tazavallan Kalevalan piiris,Нижнее Куйто — российское озеро в Калевальском районе Республики Карелия
Se kuuluu Kuittijärvilöin joukkoh da sijoittuu Kemin jovenalas,Входит в группу озёр Куйто бассейна реки Кемь
"Järven pinduala on 141,3 km², piduhus – 30,4 km, levevys – 7,5 km, randuviivan piduhus – 124 km","Площадь озера — 141,3 км², длина — 30,4 км, ширина  — 7.5 км, береговой линией — 124 км"
"Sen keskisyvys on 9,4 m, syvin kohtu on 33 m","Средняя глубина — 9.4 м, наибольшая глубина — 33 м"
"Suvirandu on madal, pohjasrandu on korgei, niilöil kazvau havumeččii","Южный берег низкий, северный — высокий, покрыты хвойным лесом."
"Järves on 48 suardu, kudamien yhtehine pinduala on 1,6 km²","На озере 48 островов общей площадью 1,6 км²"
"Suurimat niilöis on Vuopasari (0,15 km²) da Petrasari","крупнейшие из них: Вуопасари (0,15 км²) и Петрасари"
Vien väri on valpahanmaksankarvaine,Цвет воды светло-коричневый
Pohjas on järvirudua da harmuadu mudua,Дно покрыто озёрной рудой и серым илом
Järven lahtilois on kažl’ua da šaraheiniä,В устье озера растёт камыш и осока
"Järves on riäpöidy, särgii, haugii, ahvendu, siigua, matikkua, kiiškoidu","В озере обитают корюшка, ряпушка, плотва, щука, окунь, сиг, налим, ёрш."
Turing hyvin vaikutti informatiekan kehittämizeh,Тьюринг оказал существенное влияние на развитие информатики
"Häi on Britanien imperien ritarikunnan kavaleru (1945), Londonan kuningasseuran ozanottai (1951)","Кавалер ордена Британской империи (1945), член Лондонского королевского общества (1951)"
Vuvvennu 1936 keksitty Turingan koneh avvutti tarkastella algoritmua,Предложенная им в 1936 году абстрактная вычислительная «Машина Тьюринга» позволила формализовать понятие алгоритма
Tädä konehtu nygöigi käytetäh monis teouriettizis da praktiekallizis,Этот механизм до сих пор используется во множестве теоретических и практических исследований
Turingan tiedoruavot pietäh suurennu panoksennu sego informatiekan perustamizeh sego i tegoälyn teourieh,Научные труды А. Тьюринга — общепризнанный вклад в основания информатики и в частности — теории искусственного интеллекта
"Toizen muailmanvoinan aigua Alan Turing ruadoi Kodoin da peittokielen haldivollizes školas, kudai sijoičči Bletči-puistos","Во время Второй мировой войны Алан Тьюринг работал в Правительственной школе кодов и шифров, располагавшейся в Блетчли-парке"
"Turing keksi mondu murron tabua da teouriettizen ohjelman Bombe-koneheh niškoi, kuduan avul murrettih germuanilazen Enigma-peittokielikirjoituskonehen","Тьюринг разработал ряд методов взлома, в том числе теоретическую базу для Bombe — машины, использованной для взлома немецкого шифратора «Enigma»"
"Voinan jälles Turing ruadoi Kanzallizes fiziekkulaboratouries, kus hänen projektan mugah oli luajittu enzimäine tiedokoneh ACE-programmanke","После войны Тьюринг работал в Национальной физической лаборатории, где по его проекту был реализован первый в мире компьютер с хранимой в памяти программой — ACE"
Vuvven 1948 Turing liityi Mančesteran yliopistoh da otti ozua Mančesteran tiedokonehien keksimizes,"В 1948 учёный присоединился к вычислительной лаборатории Макса Ньюмана в Университете Манчестера, где ассистировал при создании Манчестерских компьютеров"
Sežo Turing tutkii matematiekan biolougii,позднее Тьюринг заинтересовался математической биологией
Vuvvennu 1950 häi keksii empiirine Turingan testu tiedokonehen tegoälyn arvosteluh niškoi,В 1950 году предложил эмпирический тест Тьюринга для оценки искусственного интеллекта компьютера
"Turing oli homoseksualu, sendäh händy vaivattih","Алан Тьюринг был гомосексуалом, из-за чего его преследовали"
Vuvvennu 1954 häi luadi ičetapon,Он умер в 1954 году от суицида
Häi on yksi kuulužimis homofobien žertvois Britanies,был признан «одной из самых известных жертв гомофобии в Великобритании»
Turingan kunnivokse on nimitetty muailman arvokkahin palkindo informuatiekan alal,В честь учёного названа Премия Тьюринга — самая престижная в мире награда в области информатики
"Alangomuat libo Hollandii () on valdivo, kudamas on kaksi ozua: Päivänlasku-Jevroupan oza da Karibanmeren suaret Boneir, Sint-Estatius da Saba (niidy kučutah Kariban Gollandiekse)","Королевство Нидерландов — государство, состоящее из основной территории в Западной Европе и островов Бонайре, Синт-Эстатиус и Саба в Карибском море (называемых также Карибскими Нидерландами)"
"Päivänlasku-Jevroupan aloveh on Pohjanmeren rannal (randuviivan pitkevys on 451 km), se rajoittuu Germuanienke (577 km) da Bel’gienke (450 km)",В Западной Европе территория омывается Северным морем (длина береговой линии — 451 км) и граничит с Германией (577 км) и Бельгией (450 км)
"Valdivolline flagu on kolmevärine (ruskei, valgei, sinine piduhusviivoin)","Государственный флаг — трёхцветный (красный, белый, синий по горизонтали)"
Kanzalline pruazniekku on 27,Национальный праздник — 27 апреля
Alangomualoin peruszakonan mugah valdivon virralline piälinnu on Amsterdamu,"Официальной столицей государства, согласно его Конституции, является Амстердам"
"Ga tovelline piälinnu on Gaagu, kudamas on kuningahan rezidensii, parluamentu, haldivo da toizien mualoin posol’stvat","При этом фактической столицей является Гаага, где расположены королевская резиденция, парламент и правительство, а также большинство посольств иностранных государств"
"Toizet tärgiet linnat ollah Rotterdamu (muan suurin portu), Utrehtu (muan raududorogusistieman keskus), Eindhovenu (elektroniekan keskus)","Другие важные города: Роттердам (самый большой порт), Утрехт (центр железнодорожной системы) и Эйндховен (центр электроники)"
"Pinduala on 41 543 km², rahvahan lugumiäry on 17 022 101 hengie","Площадь территории в европейской части — 41 543 км², население — 17 022 101 человек"
Alavoine on poselenii da sen keskus Karjalan tazavallan Anuksen piiris Ven'al,"Алавойне — посёлок, административный центр в Карелии Олонецкого национального района в России"
Muantiedo da eläjät,география и население
"Se rajoittuu luodehes Anuksen piirin Videlen, koillizes Koveran, päivänlaskupuolel Tuuksen da Anuksen da liidehes Mägriän kundih sego suves Luadogan kauti Leningradan aloveheh","Простирается на северо-западе от Олонца, встречается с Коверой, на западе находится Тукса, на юго-востоке Мегрега, и выходит на Ладожское озеро из Ленинградской области"
Albert Gustaf Aristides Edelfelt (21,Альберт Густав Аристид Эдельфельт
Edelfelt mualai äijän histouriellistu aihettu da portriettua,Эдельфельт преимущественно писал исторические сюжеты и портреты
Edelfelt rodiihes vuvvennu 1854,Эдельфельт родился в 1854 году
Hänen tuattah oli ruoččilaine arhitektor Carl Albert Edelfelt da muamo bohatan porvoolaizen kupčan tytär Alexandra Brandt,"Его отец, Карл Эдельфельт, был архитектором, а мать — дочь богатого купца Александра Брандта"
"Edelfelt oli enzimäine kanzoinvälizesti tundiettu suomelaine taidoilii, kuduan tevoksii ostettih muzieloih da merkittävih taidehkogomuksih","Эдельфельт был известный финский художник, его произведения продавали в музеи и крупные художественные фонды."
Aihies muijal,ссылки
Albert Einstein (14,Альберт Эйнштейн
Häi sai Nobelan fiiziekanpalkindon vuvvennu 1921,Лауреат Нобелевской премии по физике 1921 года
"Albuanii (""alb",Албания
"""Shqipëria""), täyzi virralline muodo on Albuanien tazavaldu (""alb","Shqipëria), полная официальная форма — Республика Албания"
